id	name	namespace	parents	level
GO:0000197	activation of MAPKKK activity involved in cell wall organization or biogenesis	biological_process	GO:0000185,GO:0044087,GO:1903137,GO:1903139	5
GO:0000198	activation of MAPKK activity involved in cell wall organization or biogenesis	biological_process	GO:0000186,GO:0044087,GO:1903137,GO:1903139	5
GO:0000199	activation of MAPK activity involved in cell wall organization or biogenesis	biological_process	GO:0000187,GO:0044087,GO:1903137,GO:1903139	5
GO:0000200	inactivation of MAPK activity involved in cell wall organization or biogenesis	biological_process	GO:0000188,GO:0044087,GO:1903137,GO:1903138	5
GO:0000201	MAPK import into nucleus involved in cell wall organization or biogenesis	biological_process	GO:0000189	6
GO:0000202	obsolete MAPKKK cascade during sporulation (sensu Saccharomyces)	biological_process		NA
GO:0000203	obsolete activation of MAPKKK during sporulation (sensu Saccharomyces)	biological_process		NA
GO:0000204	obsolete activation of MAPKK during sporulation (sensu Saccharomyces)	biological_process		NA
GO:0000205	obsolete activation of MAPK during sporulation (sensu Saccharomyces)	biological_process		NA
GO:0000206	obsolete inactivation of MAPK during sporulation (sensu Saccharomyces)	biological_process		NA
GO:0000207	obsolete nuclear translocation of MAPK during sporulation (sensu Saccharomyces)	biological_process		NA
GO:0000208	MAPK import into nucleus involved in osmosensory signaling pathway	biological_process	GO:0000189	6
GO:0000209	protein polyubiquitination	biological_process	GO:0016567	7
GO:0000212	meiotic spindle organization	biological_process	GO:0007051,GO:1903046	6
GO:0000216	obsolete M/G1 transition of mitotic cell cycle	biological_process		NA
GO:0000226	microtubule cytoskeleton organization	biological_process	GO:0007010,GO:0007017,GO:1902589	5
GO:0000236	mitotic prometaphase	biological_process	GO:0022403,GO:0098763	4
GO:0000237	leptotene	biological_process	GO:0022403,GO:0098764	4
GO:0000238	zygotene	biological_process	GO:0022403,GO:0098764	4
GO:0000239	pachytene	biological_process	GO:0022403,GO:0098764	4
GO:0000240	diplotene	biological_process	GO:0022403,GO:0098764	4
GO:0000241	diakinesis	biological_process	GO:0022403,GO:0098764	4
GO:0000244	spliceosomal tri-snRNP complex assembly	biological_process	GO:0000387	8
GO:0000245	spliceosomal complex assembly	biological_process	GO:0022618	7
GO:0000255	allantoin metabolic process	biological_process	GO:0043603,GO:0046483,GO:1901360,GO:1901564	5
GO:0000256	allantoin catabolic process	biological_process	GO:0000255,GO:0043605,GO:0046700,GO:1901361,GO:1901565	6
GO:0000266	mitochondrial fission	biological_process	GO:0007005,GO:0048285	5
GO:0000270	peptidoglycan metabolic process	biological_process	GO:0030203	5
GO:0000271	polysaccharide biosynthetic process	biological_process	GO:0005976,GO:0009059,GO:0016051	5
GO:0000272	polysaccharide catabolic process	biological_process	GO:0005976,GO:0009057,GO:0016052	6
GO:0000278	mitotic cell cycle	biological_process	GO:0007049	5
GO:0000279	M phase	biological_process	GO:0022403	4
GO:0000280	nuclear division	biological_process	GO:0048285	5
GO:0000281	mitotic cytokinesis	biological_process	GO:0061640,GO:1903047	5
GO:0000282	cellular bud site selection	biological_process	GO:0030010,GO:1902408	6
GO:0000284	obsolete shmoo orientation	biological_process		NA
GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	biological_process	GO:0000956	9
GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	biological_process	GO:0000956	9
GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA	biological_process	GO:0000956	9
GO:0000291	nuclear-transcribed mRNA catabolic process, exonucleolytic	biological_process	GO:0000956	9
GO:0000292	RNA fragment catabolic process	biological_process	GO:0006401	7
GO:0000294	nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay	biological_process	GO:0000956	9
GO:0000296	spermine transport	biological_process	GO:0006812,GO:0015696,GO:0015846	5
GO:0000301	retrograde transport, vesicle recycling within Golgi	biological_process	GO:0006891	6
GO:0000302	response to reactive oxygen species	biological_process	GO:0006979,GO:1901700	5
GO:0000303	response to superoxide	biological_process	GO:0000302,GO:0000305,GO:0010035	5
GO:0000304	response to singlet oxygen	biological_process	GO:0000302,GO:0010035	5
GO:0000305	response to oxygen radical	biological_process	GO:0000302,GO:0010035	5
GO:0000316	sulfite transport	biological_process	GO:0015698,GO:0072348	5
GO:0000320	re-entry into mitotic cell cycle	biological_process	GO:0022402	5
GO:0000321	re-entry into mitotic cell cycle after pheromone arrest	biological_process	GO:0000320,GO:0000754	6
GO:0000335	negative regulation of transposition, DNA-mediated	biological_process	GO:0000337,GO:0010529,GO:0045910	7
GO:0000336	positive regulation of transposition, DNA-mediated	biological_process	GO:0000337,GO:0010530,GO:0045911	7
GO:0000337	regulation of transposition, DNA-mediated	biological_process	GO:0000018,GO:0010528	6
GO:0000338	protein deneddylation	biological_process	GO:0070646	7
GO:0000348	mRNA branch site recognition	biological_process	GO:0022618	7
GO:0000349	generation of catalytic spliceosome for first transesterification step	biological_process	GO:0022618	7
GO:0000350	generation of catalytic spliceosome for second transesterification step	biological_process	GO:0022618	7
GO:0000352	trans assembly of SL-containing precatalytic spliceosome	biological_process	GO:0022618	7
GO:0000353	formation of quadruple SL/U4/U5/U6 snRNP	biological_process	GO:0022618	7
GO:0000354	cis assembly of pre-catalytic spliceosome	biological_process	GO:0022618	7
GO:0000365	mRNA trans splicing, via spliceosome	biological_process	GO:0000398	8
GO:0000366	intergenic mRNA trans splicing	biological_process	GO:0000365,GO:0000380	9
GO:0000372	Group I intron splicing	biological_process	GO:0000376	9
GO:0000373	Group II intron splicing	biological_process	GO:0000377	9
GO:0000374	Group III intron splicing	biological_process	GO:0000377	9
GO:0000375	RNA splicing, via transesterification reactions	biological_process	GO:0008380	7
GO:0000376	RNA splicing, via transesterification reactions with guanosine as nucleophile	biological_process	GO:0000375	8
GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	biological_process	GO:0000375	8
GO:0000378	RNA exon ligation	biological_process	GO:0016070	6
GO:0000379	tRNA-type intron splice site recognition and cleavage	biological_process	GO:0006396	6
GO:0000380	alternative mRNA splicing, via spliceosome	biological_process	GO:0000398	8
GO:0000381	regulation of alternative mRNA splicing, via spliceosome	biological_process	GO:0048024	8
GO:0000387	spliceosomal snRNP assembly	biological_process	GO:0022618	7
GO:0000388	spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)	biological_process	GO:0022618	7
GO:0000389	mRNA 3'-splice site recognition	biological_process	GO:0006376	8
GO:0000390	spliceosomal complex disassembly	biological_process	GO:0032988	7
GO:0000393	spliceosomal conformational changes to generate catalytic conformation	biological_process	GO:0022618	7
GO:0000394	RNA splicing, via endonucleolytic cleavage and ligation	biological_process	GO:0008380	7
GO:0000395	mRNA 5'-splice site recognition	biological_process	GO:0006376	8
GO:0000398	mRNA splicing, via spliceosome	biological_process	GO:0000377,GO:0006397	7
GO:0000409	regulation of transcription by galactose	biological_process	GO:0045990	7
GO:0000410	negative regulation of transcription by galactose	biological_process	GO:0000409,GO:0045013	8
GO:0000411	positive regulation of transcription by galactose	biological_process	GO:0000409,GO:0045991	8
GO:0000412	histone peptidyl-prolyl isomerization	biological_process	GO:0000413,GO:0016570	5
GO:0000413	protein peptidyl-prolyl isomerization	biological_process	GO:0018208	6
GO:0000414	regulation of histone H3-K36 methylation	biological_process	GO:0031060	8
GO:0000415	negative regulation of histone H3-K36 methylation	biological_process	GO:0000414,GO:0031061	9
GO:0000416	positive regulation of histone H3-K36 methylation	biological_process	GO:0000414,GO:0031062	9
GO:0000422	mitochondrion degradation	biological_process	GO:0006914,GO:0007005,GO:0044712,GO:1903008	5
GO:0000423	macromitophagy	biological_process	GO:0016236,GO:0035695	6
GO:0000424	micromitophagy	biological_process	GO:0000422,GO:0016237	5
GO:0000425	macropexophagy	biological_process	GO:0016236,GO:0030242	6
GO:0000426	micropexophagy	biological_process	GO:0016237,GO:0030242	5
GO:0000429	carbon catabolite regulation of transcription from RNA polymerase II promoter	biological_process	GO:0006357,GO:0045990	7
GO:0000430	regulation of transcription from RNA polymerase II promoter by glucose	biological_process	GO:0000429,GO:0046015	8
GO:0000431	regulation of transcription from RNA polymerase II promoter by galactose	biological_process	GO:0000409,GO:0000429	8
GO:0000432	positive regulation of transcription from RNA polymerase II promoter by glucose	biological_process	GO:0000430,GO:0000436,GO:0046016	9
GO:0000433	negative regulation of transcription from RNA polymerase II promoter by glucose	biological_process	GO:0000430,GO:0000437,GO:0045014	9
GO:0000434	negative regulation of transcription from RNA polymerase II promoter by galactose	biological_process	GO:0000410,GO:0000431,GO:0000437	9
GO:0000435	positive regulation of transcription from RNA polymerase II promoter by galactose	biological_process	GO:0000411,GO:0000431,GO:0000436	9
GO:0000436	carbon catabolite activation of transcription from RNA polymerase II promoter	biological_process	GO:0000429,GO:0045944,GO:0045991,GO:1901522	8
GO:0000437	carbon catabolite repression of transcription from RNA polymerase II promoter	biological_process	GO:0000122,GO:0000429,GO:0045013	8
GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological_process	GO:0000479	10
GO:0000448	cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological_process	GO:0000479	10
GO:0000449	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 5S)	biological_process	GO:0000478	9
GO:0000450	cleavage of bicistronic rRNA transcript (SSU-rRNA, LSU-rRNA)	biological_process	GO:0000478	9
GO:0000451	rRNA 2'-O-methylation	biological_process	GO:0031167	7
GO:0000452	snoRNA guided rRNA 2'-O-methylation	biological_process	GO:0000451,GO:0016074	8
GO:0000453	enzyme-directed rRNA 2'-O-methylation	biological_process	GO:0000451	8
GO:0000454	snoRNA guided rRNA pseudouridine synthesis	biological_process	GO:0016074,GO:0031118	8
GO:0000455	enzyme-directed rRNA pseudouridine synthesis	biological_process	GO:0031118	8
GO:0000456	dimethylation involved in SSU-rRNA maturation	biological_process	GO:0031167	7
GO:0000457	endonucleolytic cleavage between SSU-rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 5S)	biological_process	GO:0000449	10
GO:0000458	endonucleolytic cleavage between LSU-rRNA and 5S rRNA of tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 5S)	biological_process	GO:0000449	10
GO:0000459	exonucleolytic trimming involved in rRNA processing	biological_process	GO:0000469,GO:0090503	8
GO:0000460	maturation of 5.8S rRNA	biological_process	GO:0006364	8
GO:0000461	endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological_process	GO:0000479,GO:0031125	9
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological_process	GO:0030490	9
GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological_process	GO:0000470	9
GO:0000464	endonucleolytic cleavage in ITS1 upstream of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological_process	GO:0000479	10
GO:0000465	exonucleolytic trimming to generate mature 5'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological_process	GO:0000459,GO:0000967	9
GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological_process	GO:0000460	9
GO:0000467	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological_process	GO:0000459,GO:0031125	9
GO:0000468	generation of mature 3'-end of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological_process	GO:0031125	9
GO:0000469	cleavage involved in rRNA processing	biological_process	GO:0090501	7
GO:0000470	maturation of LSU-rRNA	biological_process	GO:0006364	8
GO:0000471	endonucleolytic cleavage in 3'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological_process	GO:0000479	10
GO:0000472	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological_process	GO:0000479,GO:0000967	9
GO:0000473	maturation of LSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)	biological_process	GO:0000470	9
GO:0000474	maturation of SSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)	biological_process	GO:0030490	9
GO:0000475	maturation of 2S rRNA	biological_process	GO:0006364	8
GO:0000476	maturation of 4.5S rRNA	biological_process	GO:0006364	8
GO:0000477	generation of mature 5'-end of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological_process	GO:0000469,GO:0000967	8
GO:0000478	endonucleolytic cleavage involved in rRNA processing	biological_process	GO:0000469,GO:0090502	8
GO:0000479	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological_process	GO:0000478	9
GO:0000480	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological_process	GO:0000479	10
GO:0000481	maturation of 5S rRNA	biological_process	GO:0006364	8
GO:0000482	maturation of 5S rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological_process	GO:0000481	9
GO:0000483	endonucleolytic cleavage of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)	biological_process	GO:0000478	9
GO:0000484	cleavage between SSU-rRNA and 5.8S rRNA of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)	biological_process	GO:0000483	10
GO:0000485	cleavage between 2S rRNA and LSU-rRNA of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)	biological_process	GO:0000483	10
GO:0000486	cleavage between 5.8S rRNA and 2S rRNA of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)	biological_process	GO:0000483	10
GO:0000487	maturation of 5.8S rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)	biological_process	GO:0000460	9
GO:0000488	maturation of LSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA)	biological_process	GO:0000470	9
GO:0000489	maturation of SSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA)	biological_process	GO:0030490	9
GO:0000491	small nucleolar ribonucleoprotein complex assembly	biological_process	GO:0022618	7
GO:0000492	box C/D snoRNP assembly	biological_process	GO:0000491	8
GO:0000493	box H/ACA snoRNP assembly	biological_process	GO:0000491	8
GO:0000494	box C/D snoRNA 3'-end processing	biological_process	GO:0031126,GO:0034963	9
GO:0000495	box H/ACA snoRNA 3'-end processing	biological_process	GO:0031126,GO:0034964	9
GO:0000501	flocculation via cell wall protein-carbohydrate interaction	biological_process	GO:0000128	5
GO:0000578	embryonic axis specification	biological_process	GO:0009798,GO:0009880	5
GO:0000705	achiasmate meiosis I	biological_process	GO:0007127	6
GO:0000706	meiotic DNA double-strand break processing	biological_process	GO:0000729,GO:0022402,GO:0044712,GO:1903046	5
GO:0000707	meiotic DNA recombinase assembly	biological_process	GO:0000730,GO:0022402,GO:1903046	5
GO:0000708	meiotic strand invasion	biological_process	GO:0022402,GO:0042148,GO:0044710,GO:1903046	4
GO:0000709	meiotic joint molecule formation	biological_process	GO:0022402,GO:1903046	5
GO:0000710	meiotic mismatch repair	biological_process	GO:0006298,GO:0022402,GO:1903046	5
GO:0000711	meiotic DNA repair synthesis	biological_process	GO:0000731,GO:0022402,GO:0044711,GO:1903046	5
GO:0000712	resolution of meiotic recombination intermediates	biological_process	GO:1903046	6
GO:0000713	meiotic heteroduplex formation	biological_process	GO:0022402,GO:0030491,GO:0044710,GO:1903046	4
GO:0000714	meiotic strand displacement	biological_process	GO:0000732,GO:0022402,GO:0044710,GO:1903046	4
GO:0000715	nucleotide-excision repair, DNA damage recognition	biological_process	GO:0051276	5
GO:0000716	transcription-coupled nucleotide-excision repair, DNA damage recognition	biological_process	GO:0000715	6
GO:0000717	nucleotide-excision repair, DNA duplex unwinding	biological_process	GO:0032508	8
GO:0000718	nucleotide-excision repair, DNA damage removal	biological_process	GO:0006259,GO:0044349	6
GO:0000719	photoreactive repair	biological_process	GO:0006290	6
GO:0000720	pyrimidine dimer repair by nucleotide-excision repair	biological_process	GO:0006289,GO:0006290	6
GO:0000722	telomere maintenance via recombination	biological_process	GO:0000723,GO:0006312	5
GO:0000723	telomere maintenance	biological_process	GO:0006259,GO:0032200,GO:0044710,GO:0060249,GO:1902589	4
GO:0000724	double-strand break repair via homologous recombination	biological_process	GO:0000725,GO:0006302	6
GO:0000725	recombinational repair	biological_process	GO:0006281,GO:0006310	5
GO:0000726	non-recombinational repair	biological_process	GO:0006281	5
GO:0000727	double-strand break repair via break-induced replication	biological_process	GO:0000724	7
GO:0000728	gene conversion at mating-type locus, DNA double-strand break formation	biological_process	GO:0090305	6
GO:0000729	DNA double-strand break processing	biological_process	GO:0006259	6
GO:0000730	DNA recombinase assembly	biological_process	GO:0065004	6
GO:0000731	DNA synthesis involved in DNA repair	biological_process	GO:0071897	6
GO:0000732	strand displacement	biological_process	GO:0006259	5
GO:0000733	DNA strand renaturation	biological_process	GO:0006259	6
GO:0000734	gene conversion at mating-type locus, DNA repair synthesis	biological_process	GO:0000731	7
GO:0000735	removal of nonhomologous ends	biological_process	GO:0006259	6
GO:0000736	double-strand break repair via single-strand annealing, removal of nonhomologous ends	biological_process	GO:0000735	7
GO:0000737	DNA catabolic process, endonucleolytic	biological_process	GO:0006308,GO:0090305	6
GO:0000738	DNA catabolic process, exonucleolytic	biological_process	GO:0006308,GO:0090305	6
GO:0000740	nuclear membrane fusion	biological_process	GO:0090174	6
GO:0000741	karyogamy	biological_process	GO:0048284	5
GO:0000742	karyogamy involved in conjugation with cellular fusion	biological_process	GO:0000741	6
GO:0000743	nuclear migration involved in conjugation with cellular fusion	biological_process	GO:0030473	6
GO:0000744	karyogamy involved in conjugation with mutual genetic exchange	biological_process	GO:0000741	6
GO:0000745	nuclear migration involved in conjugation with mutual genetic exchange	biological_process	GO:0007097	7
GO:0000746	conjugation	biological_process	GO:0044764	4
GO:0000747	conjugation with cellular fusion	biological_process	GO:0000746,GO:0019953	4
GO:0000748	conjugation with mutual genetic exchange	biological_process	GO:0000746	5
GO:0000749	response to pheromone involved in conjugation with cellular fusion	biological_process	GO:0071444	7
GO:0000750	pheromone-dependent signal transduction involved in conjugation with cellular fusion	biological_process	GO:0007186,GO:0032005	6
GO:0000751	mitotic cell cycle arrest in response to pheromone	biological_process	GO:0071850	7
GO:0000752	agglutination involved in conjugation with cellular fusion	biological_process	GO:0000771,GO:0044764,GO:0098630	4
GO:0000753	cell morphogenesis involved in conjugation with cellular fusion	biological_process	GO:0000767,GO:0003006,GO:0044702	4
GO:0000754	adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion	biological_process	GO:0023058	7
GO:0000755	cytogamy	biological_process	GO:0022413	4
GO:0000756	response to pheromone involved in conjugation with mutual genetic exchange	biological_process	GO:0007154,GO:0071444	5
GO:0000757	signal transduction involved in conjugation with mutual genetic exchange	biological_process	GO:0007186	6
GO:0000758	agglutination involved in conjugation with mutual genetic exchange	biological_process	GO:0000771,GO:0098630	4
GO:0000759	cell morphogenesis involved in conjugation with mutual genetic exchange	biological_process	GO:0000767	6
GO:0000760	adaptation to pheromone involved in conjugation with mutual genetic exchange	biological_process	GO:0000756,GO:0022401	6
