EntrezGene ID	Agilent SurePrint G3 GE 8x60k probe
100033444	
6880	
102157402	
139189	A_33_P3249768
80231	A_23_P62227
26784	A_33_P3563369
102465500	A_23_P8095
3224	A_24_P124558
102466719	
100500870	
100422886	
103504733	
574497	
692233	
100422979	
102466985	
693182	
574463	
100008587	A_33_P3399064
100500814	
767592	
406916	
5698	
128866	A_23_P28969
51206	
100616218	
574461	
54893	
100616182	
102466727	
869	A_24_P313431
869	
100500859	
26811	
4599	
4599	A_23_P17663
100616230	
26812	
692149	
100422983	
102465254	
100422944	
768212	
100616450	
100616225	
100616500	
27316	
100422965	
693155	
100616403	
677844	A_33_P3280965
102465875	
677835	
677808	A_33_P3241741
26080	A_33_P3217491
26080	A_33_P3307535
26080	A_33_P3298099
26080	A_33_P3387548
26080	A_33_P3307536
100846991	
55655	
677805	
100616186	
100847019	
26783	
406941	
100422956	
267010	
102466734	
100616378	
29995	A_19_P00316450
29995	A_19_P00806698
29995	A_23_P6771
29995	A_23_P166779
29995	
101927459	
100126301	
442892	
10915	
10915	A_23_P133365
407016	A_33_P3267280
26785	
677799	A_33_P3683076
2339	
2339	A_23_P24926
9437	
100500855	
8225	A_23_P113523
8225	A_33_P3375646
100616404	
100126306	
693154	
102466720	
100126342	
10068	A_33_P3228322
10068	
26505	
406998	
693228	
693226	
407011	
100616164	
692206	
100616132	
677820	
1979	A_23_P115922
1979	A_24_P115621
1979	A_19_P00324632
100302178	
100616498	
7203	A_23_P160631
7203	
7203	A_33_P3396831
406981	
26824	
103695436	
406944	
105374580	
1616	
10004	A_23_P52668
10004	
100302196	
100616398	
100616276	
203611	A_32_P401091
79576	A_23_P62276
79576	
100423031	
100126329	
100126352	
103504732	
100126356	A_33_P3407434
100616495	
100500801	
100616178	
102466198	
100616228	
2979	
692086	A_33_P3263379
170689	A_33_P3316790
677776	
102465252	
1353	A_23_P152666
1353	A_24_P73943
1353	
1353	A_33_P3289113
100124540	
100422889	
102465511	A_23_P112162
102464831	
677834	
100422892	
677794	
102465539	
102466192	
102466162	
102465533	
102466731	
100423006	
116512	A_23_P127352
338428	
100500852	
102465463	
100616300	
102466733	
51112	
100616331	
100302168	
100616140	
100500865	
100616264	
101060684	A_33_P3215906
101060684	A_33_P3372788
101060684	A_23_P359430
101060684	A_32_P149492
101060684	
100500833	
115123	A_24_P555473
115123	A_23_P321511
115123	
8711	A_33_P3388618
8711	
677763	
103504736	
653073	
653720	
728498	
105378732	
102465668	A_23_P251593
102465668	A_32_P62008
100616431	
100616435	
25940	A_23_P313728
25940	
100616246	
100616457	
100422952	
374907	A_23_P101380
102465257	
378706	A_33_P3332348
100616128	
100616192	
344022	A_33_P3264771
102465437	
100616341	
100422896	
79613	
79613	A_33_P3352782
8227	A_23_P342668
8227	A_24_P16856
100616177	
101410545	
51725	A_24_P280684
100506013	
677817	
128218	A_23_P115022
128218	
100847085	
9655	A_24_P328492
100500839	
102466972	
245939	A_33_P3272962
101929261	
102466190	
26519	A_23_P64343
100126330	
144486	A_33_P3374997
56658	
202658	
693191	
353511	A_33_P3336484
353511	
100422823	
442902	
100616333	
3803	
102466874	
100500811	A_33_P3269844
102465492	
100500821	
56662	
100033443	
100422830	
6218	
3447	A_24_P403459
677797	A_33_P3775741
677797	A_33_P3307447
677837	
80737	
100847075	
337976	A_33_P3351092
56979	
56979	A_24_P86246
389362	
389362	A_33_P3259058
389362	A_33_P3259053
389362	A_33_P3390960
100500835	
100126319	
8449	
729665	
729665	A_33_P3250865
677825	
100313842	
693233	
102465525	
140881	A_23_P102694
56888	
56888	A_33_P3354181
407002	
4888	A_24_P411573
440757	A_33_P3355454
100169758	
129790	A_19_P00809902
129790	
129790	A_33_P3418390
129790	A_23_P31218
129790	A_33_P3226710
8220	A_33_P3340154
8220	
100423030	
100422924	
406982	
100313829	
199713	
5581	
5581	A_23_P250564
5581	A_33_P3252191
26255	A_23_P60016
100423029	
102465993	
102466251	
4758	
402778	A_33_P3358601
402778	
1238	
1238	A_23_P91954
340168	A_32_P233950
100500802	
100616469	
102465246	
445347	A_33_P3225625
445347	A_33_P3378659
5304	A_23_P8702
730013	
730013	A_33_P3298043
730013	A_33_P3385266
595100	
100500916	
100533105	
100533105	A_33_P3375613
101929478	
115795	
115795	A_23_P318989
692091	A_33_P3393694
100500803	
100616417	
26832	
1263	
100616373	
406962	
93474	A_23_P74981
677810	A_19_P00316494
677810	A_19_P00318261
677810	A_19_P00316075
677810	A_24_P902052
6138	A_23_P253200
6138	
100422866	
54780	A_23_P75204
54780	
100033441	
201229	A_23_P392126
201229	
253018	
100500840	
407018	
102465446	
143872	A_33_P3243332
143872	A_23_P150325
143872	A_33_P3711933
143872	A_33_P3299110
143872	
255403	A_23_P124438
255403	A_19_P00806589
100302265	
26797	
100033816	
102465256	
100422919	
6917	A_23_P132444
6917	A_24_P126651
6917	
100874002	
259296	
100500864	
126014	
10321	A_23_P419760
10321	
100422874	
102466745	
10466	A_23_P134614
10466	
100616480	
100033435	
3263	
102465248	
101928287	
84692	A_23_P109964
101927143	
100033414	
84443	A_33_P3421973
84443	A_32_P129669
84443	
84616	A_23_P38603
677818	
8754	
102465472	
27120	
100313938	
654322	A_23_P58538
100302226	A_23_P101342
728072	A_32_P207124
728072	A_24_P332857
133060	A_33_P3294821
133060	A_23_P306307
574469	
340390	A_33_P3209541
340390	
100616382	
26716	
338755	A_33_P3262069
101928539	
100616188	
100422989	
57674	A_19_P00804072
57674	A_23_P327140
57674	A_19_P00317052
57674	A_19_P00321306
57674	A_33_P3219591
57674	
100126320	
102465480	
100616118	
23120	A_23_P311901
23120	
23120	A_33_P3298942
100126336	
79166	
8822	A_23_P429363
8822	
284415	
100313838	
5644	
6029	A_33_P3332348
767599	
102465449	
9972	A_33_P3306510
100616149	
100500886	
51156	
26869	A_33_P3267263
102466657	
94033	A_32_P160896
56005	
56005	A_33_P3243337
3797	A_33_P3369153
3797	A_33_P3369158
3797	
7052	A_32_P86763
7052	A_24_P923251
7052	
619570	
26152	A_33_P3333805
26152	A_24_P318939
26152	
100422957	
100422959	
100422844	
148206	
148206	A_33_P3230436
100500809	
100500820	
101929297	
102466880	
100616203	
29844	
100616441	
9907	A_33_P3409996
9907	A_33_P3215487
9907	
494335	
100526767	A_33_P3316639
359	A_33_P3304065
359	
65243	A_23_P160200
401093	A_33_P3352073
401093	
158833	
158833	A_32_P234518
100126340	
165631	A_33_P3316544
165631	
414196	A_33_P3275315
414196	A_33_P3395472
57189	
79690	A_23_P31240
79690	
340205	A_33_P3381777
101928661	
6928	A_24_P330822
6928	
677767	A_33_P3284715
26831	
693144	
677778	
767593	
1136	A_33_P3388147
1136	A_33_P3388148
1136	
100616339	
102465861	
100302190	
100313841	
441864	
101927694	
1351	A_23_P52639
353513	A_23_P11390
353513	A_33_P3291510
100505915	
101928682	A_19_P00320628
101928682	A_19_P00322997
101928682	
101928682	A_19_P00319140
692209	
677814	
100847088	
105374896	
149086	A_33_P3339202
149086	
100616383	
100616165	
196500	A_24_P248185
196500	
64112	A_23_P205389
101340251	A_33_P3755633
100847040	
51594	
90025	A_33_P3369781
90025	A_24_P626931
90025	A_33_P3369786
90025	A_23_P365327
594838	A_23_P82128
619564	
9656	
100313771	
100423025	A_24_P664995
3106	A_33_P3424800
3106	A_33_P3379947
3106	
767611	
9730	A_23_P212595
9730	
102465944	
100423016	
100616347	
389831	A_33_P3402056
102723360	A_33_P3402056
102724219	A_33_P3402056
102724441	A_33_P3402056
102724843	A_33_P3402056
102724951	A_33_P3402056
574460	
692085	
102465490	
102465536	
100616298	
5817	A_23_P141894
5817	A_32_P72110
5817	A_24_P65616
5817	
390245	
100302148	
100302126	
103504738	A_33_P3365932
442914	
407044	
100847042	A_33_P3366195
25853	A_23_P255257
25853	
100313914	
389434	A_33_P3239614
389434	A_32_P110472
389434	
100313895	
4012	
4012	A_23_P144677
4012	A_23_P156061
9698	A_23_P170820
9698	A_23_P10815
9698	
101928708	
100422926	
3987	A_33_P3268310
3987	A_33_P3262854
100288695	A_33_P3268310
100288695	A_33_P3262854
100616255	
102465521	A_23_P365189
102465136	
102465856	
100422835	
402055	A_24_P288954
402055	
103625684	
100422904	
1474	A_23_P146946
100381270	
26771	A_23_P2725
164091	A_32_P538180
255919	A_33_P3403549
255919	A_23_P397417
255919	
677819	
142683	A_24_P53778
142683	
54716	A_24_P20369
54716	
100616157	
102465494	
100302133	
406972	
54660	A_23_P390958
54660	
147948	
147948	A_33_P3412055
147948	A_23_P395464
100500898	
105379554	A_23_P356646
11149	A_32_P181638
11149	
100033447	
100500884	
692199	
6477	A_33_P3270509
6477	A_23_P106798
6477	
837	A_23_P35912
837	
102465835	
100422880	
9231	
9231	A_24_P129632
199713	A_23_P16384
284551	A_33_P3768196
693173	
406897	
100616153	
100379224	
574515	
54033	A_23_P342000
54033	
574494	
101954264	
101954268	
100500867	
100422973	
5158	A_23_P10743
5158	
441631	
441631	A_33_P3211679
441631	A_23_P76136
400798	A_33_P3384578
400798	A_33_P3259865
406932	
100616426	
338429	
56663	
100616117	
693193	
102466879	
692109	
100847005	
100616344	
26807	
100616231	
414236	A_33_P3666817
147645	A_23_P101246
147645	A_33_P3395848
22937	A_23_P252825
22937	
30846	A_24_P156113
30846	
100422975	
100500888	A_24_P134235
677831	A_23_P79927
23466	A_33_P3270485
23466	
100302242	
100313773	
100422839	
100423010	
84669	A_33_P3414362
84669	
102465878	
102465435	A_33_P3270802
100422824	
1797	
388701	A_33_P3250944
100423037	
106780802	A_33_P3213792
106780802	A_23_P202773
406980	
8334	A_33_P3344127
8334	A_23_P372860
8334	A_23_P167983
5184	A_23_P83436
5184	
100036564	
677839	A_33_P3645888
100616425	
100616113	
100847015	
79825	A_33_P3324854
79825	A_23_P166566
100302179	
102466247	
100313923	
692092	
57498	A_24_P97145
57498	
100423014	
100033448	
26121	
102464833	
102466191	
100616350	
100422883	
261726	A_33_P3407675
261726	A_23_P327426
100616288	
100847086	
100616326	
100616159	
100616194	
79042	
100500813	
693212	
3111	
693125	
100500877	
100423017	
100616217	
100616464	
102465510	A_33_P3301410
692057	
114825	
114825	A_33_P3275943
114825	A_23_P398770
3010	A_23_P133842
55602	A_23_P258002
55602	
102466738	
100423000	
23769	A_23_P47168
79791	A_23_P395566
79791	A_33_P3319593
79791	
102465431	
102465452	A_23_P53217
102465882	
692111	
574475	
768219	
102466740	
100500862	
574030	
79000	A_23_P160537
79000	
574451	
677849	
116938	
4696	
100616338	
100616471	
100313822	
55670	A_33_P3412519
55670	A_33_P3262452
55670	A_24_P160104
693164	
692110	
100616452	
102465693	
4864	
8724	A_23_P42498
8724	A_24_P277807
8724	A_33_P3345796
57504	A_23_P154522
57504	
7014	A_23_P417200
7014	
664709	A_32_P113436
664709	A_32_P8015
664709	A_32_P19431
100036565	
102724788	A_33_P3338341
102724788	A_33_P3239295
100616470	
407027	
406965	
427	A_33_P3284463
427	
100033453	
407048	
574482	
767568	
100422860	
103504737	
977	A_33_P3229196
977	
100616358	A_23_P423695
26782	A_33_P3473108
100616171	
102466876	
574476	
51719	A_33_P3316293
51719	A_23_P79426
51719	
100033821	
100302210	A_33_P3312682
693229	
100169768	
102466204	
406901	
2538	
2538	A_23_P385017
693225	
100500899	
677827	
100422943	
407036	
102466747	
100616394	
100033818	
4485	A_24_P148796
4485	
102465453	
406978	
693195	
102465445	
102465251	
100302174	
100616395	
342510	A_33_P3358099
342510	A_33_P3358104
8483	A_23_P151895
6060	A_33_P3267263
692226	
406979	
574409	
102465467	A_24_P936010
100616282	
26799	A_19_P00319019
26799	A_19_P00322666
26799	A_19_P00316419
26799	A_19_P00322754
26799	A_19_P00319095
26799	A_19_P00802156
26799	A_19_P00321546
26799	A_19_P00317524
26799	A_19_P00316659
26799	A_19_P00813157
26799	A_19_P00316701
26799	A_19_P00322702
654320	
1675	
407031	
100847050	
100126338	
693200	A_23_P162355
100506376	A_33_P3352048
100506376	A_33_P3352053
100423019	
724033	
6048	
100302258	
100422867	
100422929	
693127	
102466806	
100302283	
100616380	
28992	A_23_P86855
28992	
100847032	
4580	A_23_P137865
57501	
100147744	
693181	
102465832	
693178	
6203	
100423027	
100169755	
100616290	
102465429	
693143	
100422850	
100126321	
102465451	
100616274	
767581	
101954269	A_33_P3267263
100302263	
728228	A_33_P3313899
100616216	
693176	
102466721	
100033433	A_33_P3280157
100302212	
574040	
100422938	
103695431	
677815	A_33_P3346866
6304	A_23_P259741
6304	
574042	A_33_P3563369
64735	
406951	
677774	A_33_P3344492
102465538	
724027	
149018	A_23_P51311
100302270	
692106	
100302243	
7272	
7272	A_23_P259586
101929351	
101928468	A_33_P3223631
101928468	A_33_P3343206
101928468	A_33_P3300843
7512	A_33_P3420392
7512	A_24_P211709
58493	A_33_P3256773
58493	A_23_P397899
58493	
406973	
693217	
100616160	
100847080	
140597	A_23_P85140
100313779	
406950	
100500911	
1108	A_23_P53541
1108	
26816	A_23_P90143
102465450	
100422947	
254528	
221662	A_23_P167812
221662	
26793	
5328	
5328	A_33_P3306146
5328	A_23_P24104
102465432	
102466728	
10136	A_33_P3343720
10136	A_33_P3343737
10136	A_33_P3343727
100313777	
100423020	
574474	
100616463	
100423015	
130872	
130872	A_33_P3368560
130872	A_33_P3368555
102465868	
574433	
677801	
9301	
11118	A_24_P252078
11118	A_33_P3227880
11118	
406912	
407015	
100847035	
100313830	
100616237	
100616385	
100313884	
102465855	
102466250	
100422994	
102466268	
102465910	A_33_P3365932
100190949	A_32_P227930
283116	A_23_P1575
283116	A_33_P3374970
100616321	
1299	
1299	A_23_P40108
26778	A_24_P754803
84501	
84501	A_33_P3210203
100616141	
6083	
677826	
102465461	
103504726	
102464837	
100616174	
57621	A_23_P82108
102465249	
677772	A_33_P3230837
767566	
64711	
574456	
100033425	A_19_P00322589
102466918	
102466201	
100616402	
102465471	
1674	A_33_P3275801
1674	
693166	
102466259	
767612	
102465523	
388697	A_33_P3391895
100616142	
407054	
84067	A_23_P24796
84067	
102465906	
100847083	
102464828	
84437	A_33_P3323520
84437	A_23_P116168
401172	A_24_P307724
401172	
102465141	
664614	
574410	
147798	
154150	A_33_P3366456
100616376	
100422949	
693230	
406893	
102465491	
100616377	
100616252	
9583	A_23_P216017
9583	A_33_P3397486
9583	
102466737	
285407	A_33_P3316410
285407	A_33_P3319248
100616183	
100126327	
100422969	
102466081	
100616289	
6084	
100423042	
219482	A_33_P3343506
406923	
102466878	
5475	
5475	A_23_P125505
677777	A_33_P3368328
677777	A_33_P3224307
102465496	
100187716	A_33_P3322519
677803	
100302192	
100616453	
677812	
145741	A_33_P3356462
102465838	
693204	
102464826	
692201	
5436	A_33_P3396522
5436	
177	
100302177	
102465135	
406931	
206338	A_33_P3370570
206338	A_33_P3251522
206338	
26775	
677828	
102466722	
100422935	
102464823	
723778	A_33_P3304707
338324	A_24_P280274
338324	
338324	A_33_P3393504
677846	
100126333	
442917	
55692	A_33_P3299170
55692	A_23_P106737
55692	
1060	
100500841	
100616305	
55421	
55421	A_23_P15669
100616154	
693124	
102465977	
347694	A_33_P3610406
102465532	
100616206	
100422927	
100422898	
693162	
100169757	
102465447	
677766	A_33_P3273584
84220	A_23_P357985
84220	
84220	A_23_P218637
84220	A_24_P85942
84220	A_32_P205944
729540	A_23_P357985
729540	
729540	A_23_P218637
729540	A_24_P85942
729540	A_32_P205944
100033449	
4849	
85449	A_24_P102315
85449	
100302159	
642361	A_33_P3376954
642361	A_33_P3575854
100422967	
693175	
574449	A_33_P3846653
102465434	
100126337	
440888	A_33_P3816042
196410	A_24_P64653
767583	
102723502	A_23_P420348
102723502	A_32_P16007
102724631	A_23_P420348
102724631	A_32_P16007
7596	A_24_P68415
7596	A_23_P426472
7596	
102724532	
100500844	
100616152	
100302225	
677823	
692203	
106481742	
106780825	
692053	
100616413	
114599	
100126332	
100847021	
574445	
100616491	
100302223	
55971	A_33_P3262575
55971	
55971	A_33_P3684897
100616317	
100616260	
102465482	A_23_P119448
100616120	A_32_P192970
100500889	
100033813	
692075	
693156	
100302195	
1460	
693222	
100616184	
148709	A_24_P84880
100616405	
100616318	
94162	A_23_P46182
26791	
100616242	
100847057	
693189	
10197	
10197	A_23_P164141
377841	A_33_P3420224
377841	
100126351	
100302112	
100616144	
100169756	
84066	A_23_P74723
84066	
84066	A_33_P3419711
84066	A_33_P3259865
100616122	
100616499	
100616371	
57835	A_33_P3241393
57835	A_33_P3241388
57835	
100616133	
27244	A_23_P93562
27244	
201799	A_23_P361584
201799	A_33_P3314031
201799	
100033418	
102465502	
102465457	
100616447	
407045	
407007	A_19_P00804859
4335	A_23_P341443
4335	A_33_P3246733
4335	
56901	
79937	A_33_P3281667
79937	A_23_P9135
79937	A_33_P3422728
79937	
79937	A_33_P3321372
100847018	
100422916	
574517	
343099	A_33_P3327165
343099	A_33_P3246623
343099	
1730	A_23_P85004
57414	
57414	A_23_P8561
285966	A_32_P214925
285966	A_24_P237912
285966	A_33_P3309646
100033454	
692158	
102724728	
574496	
102465665	
26795	A_23_P168898
26795	A_32_P110243
9303	
102465509	
100302157	
100616315	
100846996	
574514	
100422878	
767579	
100616280	
100616229	
100313770	
121549	A_33_P3287303
100500824	
132789	
132789	A_23_P144578
102723532	A_23_P88643
105369274	A_23_P88643
26788	
100616223	
100616397	
5663	A_23_P106174
5663	
5663	A_23_P205686
102466199	
100422853	
100422993	
100423002	
8479	A_24_P142269
8479	A_33_P3217480
8479	
693136	
100422870	
100423009	A_33_P3404676
406928	
80173	
80173	A_23_P255714
80173	A_33_P3276585
406900	
102465484	
100033803	
100033603	
29057	A_33_P3411414
29057	A_23_P148519
29057	
768218	
100616119	A_19_P00320101
100422940	
693192	
693194	
100847013	
767604	
100500901	
693148	
85316	
85317	
693224	
100302277	A_33_P3408529
100302277	A_33_P3346806
100873856	
406902	
644139	A_33_P3246663
9351	A_24_P364838
9351	
101954277	
100847074	
406924	
100616352	
285550	A_19_P00809624
285550	A_33_P3411145
285550	A_19_P00322856
285550	A_19_P00321063
285550	A_19_P00315981
285550	A_19_P00808120
285550	A_19_P00315718
285550	A_19_P00315717
285550	A_19_P00316437
285550	A_19_P00320948
285550	A_19_P00322132
285550	A_19_P00322866
100302213	
100500885	
407024	
9376	A_33_P3367171
9376	A_24_P304311
9376	
100616241	
100422863	
100169753	
100126311	A_23_P26024
2191	A_23_P56746
2191	
100847063	
100616439	A_33_P3405349
102466516	
693151	
102466995	
100847004	
100846993	
319139	
619565	
102464824	
100616270	A_33_P3410895
100423013	
574038	
100616295	
25978	A_24_P114617
25978	
102466725	
100616374	
652965	
100302273	
619569	
100616323	
1831	A_33_P3237634
1831	
94163	A_23_P46182
143162	
11342	A_33_P3327592
11342	
100126310	
100847062	
102465876	
102465430	
8970	A_24_P55148
100500918	
574462	
574465	
692108	
6483	A_24_P48177
6483	
100422948	
100500822	
100302208	
102465473	
102466864	A_19_P00315843
102466864	A_33_P3286621
102466864	A_19_P00322797
100337591	
677771	
79165	A_23_P208523
102465694	
91380	
100422984	
102465488	
8676	A_23_P156788
102466723	A_23_P23380
100302224	
100422855	
692212	
26820	
693227	
100500818	
6351	
147929	A_23_P101615
147929	
100033822	
406908	
693232	
102465465	
724031	
103504728	
100422833	
100616421	A_23_P351734
100302255	
31	A_33_P3334225
31	A_32_P215318
31	
100616161	
100500878	
6359	
677770	
3034	A_23_P61637
3034	
102465974	
100616201	
407055	
100126325	A_23_P420218
100616353	
100134015	
100134015	A_33_P3398677
100616363	
406904	
100422869	
199	
100302160	
11143	A_23_P152818
11143	
100616492	
100313921	
100616219	
442904	
1121	A_23_P22548
1121	A_33_P3274397
1121	
442912	
574455	
677829	
689	A_24_P183264
689	
100302274	
100422851	
101060691	
101060691	A_33_P3357753
3849	A_23_P116850
3849	
100616251	
677795	
767609	
653689	
100616220	
724028	
57116	
57116	A_23_P35316
100616306	
100302181	
677804	
22881	A_33_P3278455
22881	
100033442	
56893	A_33_P3382380
56893	
100422918	
693140	
100616424	
23155	A_33_P3412160
23155	A_33_P3224250
23155	A_33_P3412149
125050	A_33_P3382595
102465691	
100616415	
767603	
100847065	
22909	
100847058	
84620	A_33_P3331746
84620	
28985	
28985	A_23_P114282
28985	A_24_P808100
100422876	
4133	
4133	A_33_P3277913
4133	A_33_P3214665
102466758	
5176	A_23_P100660
5176	
100302203	
1522	A_23_P40240
1522	A_33_P3250398
1522	
8794	A_33_P3865368
8794	
8794	A_23_P256724
594839	A_23_P82128
102465499	
54535	
100500836	
100500920	
692107	
100846995	
100500842	
102465513	
407050	A_23_P93690
100616319	
677843	
102465468	
100847024	
100302111	
100616287	
406963	
100616172	
10211	A_23_P214603
10211	
693223	
100302284	
23378	A_23_P356565
23378	
100422981	
102465528	
