EntrezGene ID	Affy HG U133-PLUS-2 probeset
2119	203349_s_at
2119	216375_s_at
2119	203348_s_at
2119	
407043	200775_s_at
154214	232100_at
154214	235492_at
154214	226885_at
154214	
677833	
102466866	
100422905	
100302201	
56126	223854_at
10471	222029_x_at
10471	233588_x_at
10471	222019_at
10471	242048_at
10471	
767594	
102466197	
100873998	
102465908	
102466812	
100124534	
100422879	
692210	
100033436	
6085	
100847026	
102465476	203237_s_at
100422888	
100302193	
100616125	
768216	
406993	
653282	231568_at
100616490	
102465500	
100422971	
100847084	
84823	
84823	216952_s_at
84823	218188_s_at
100873857	
767606	
693172	
100422998	
100423034	
102465501	
103504729	
100847007	
112724	
79143	
26801	
100616236	
100847093	
100033444	
6880	
102157402	
139189	238194_at
80231	220252_x_at
26784	221798_x_at
26784	203107_x_at
26784	212433_x_at
26784	217466_x_at
102465500	209111_at
3224	221350_at
102466719	
100500870	
100422886	
103504733	
574497	
692233	
100422979	
102466985	
693182	
574463	
100008587	
100500814	
767592	
406916	
5698	
128866	225119_at
128866	225498_at
51206	
100616218	
574461	
54893	
100616182	
102466727	
869	205747_at
869	
100500859	
26811	
4599	
4599	202086_at
100616230	
26812	
692149	
100422983	
102465254	
100422944	
768212	
100616450	
100616225	
100616500	
27316	229999_at
27316	225310_at
27316	213762_x_at
27316	1556336_at
27316	
100422965	
693155	
100616403	
677844	1558954_at
677844	228645_at
102465875	
677835	
677808	
26080	237047_at
100846991	
55655	
677805	
100616186	
100847019	
26783	214271_x_at
406941	
100422956	
267010	
102466734	
100616378	
29995	220244_at
29995	218574_s_at
29995	240306_at
29995	
101927459	
100126301	
442892	
10915	229706_at
10915	202396_at
10915	
10915	238838_at
407016	
26785	
677799	208682_s_at
2339	
2339	200090_at
2339	209471_s_at
2339	230808_at
9437	
100500855	
8225	203314_at
100616404	
100126306	
693154	
102466720	
100126342	
10068	222868_s_at
10068	224283_x_at
10068	219021_at
10068	219323_s_at
10068	
26505	220739_s_at
26505	
406998	
693228	
693226	
407011	
100616164	
692206	
100616132	
677820	
1979	208769_at
1979	224653_at
1979	224645_at
1979	208770_s_at
100302178	
100616498	
7203	200910_at
7203	
406981	
26824	
103695436	
406944	
105374580	
1616	
10004	228424_at
10004	207895_at
10004	
100302196	
100616398	
100616276	
203611	207646_s_at
203611	207647_at
79576	223439_at
79576	228493_at
79576	
100423031	
100126329	
100126352	
103504732	
100126356	
100616495	
100500801	
100616178	
102466198	
100616228	
2979	215841_at
692086	
170689	1553427_at
170689	229004_at
677776	
102465252	
1353	203551_s_at
1353	211727_s_at
1353	
1353	214277_at
100124540	
100422889	
102465511	203669_s_at
102464831	
677834	
100422892	
677794	
102465539	
102466192	
102466162	
102465533	202354_s_at
102466731	
100423006	
116512	
338428	
100500852	
102465463	
100616300	
102466733	
51112	203122_at
51112	
100616331	
100302168	
100616140	
100500865	
100616264	
101060684	214693_x_at
101060684	215434_x_at
101060684	201104_x_at
101060684	226740_x_at
101060684	229447_x_at
101060684	201103_x_at
101060684	213612_x_at
101060684	
100500833	
115123	213256_at
115123	230385_at
115123	
8711	217149_x_at
8711	
677763	
103504736	
653073	
653720	
728498	
105378732	
102465668	229562_at
102465668	229563_s_at
100616431	
100616435	
25940	212333_at
25940	241832_at
25940	
25940	239487_at
100616246	
100616457	
100422952	
374907	237338_at
374907	
102465257	208922_s_at
378706	
100616128	
100616192	
344022	
102465437	
100616341	
100422896	
79613	
79613	226467_at
8227	210269_s_at
8227	203624_at
8227	228447_at
100616177	
101410545	
51725	222954_at
51725	220164_s_at
100506013	1559280_a_at
100506013	
677817	
128218	225822_at
128218	
100847085	
9655	208127_s_at
9655	209648_x_at
9655	209647_s_at
100500839	
102466972	
245939	
101929261	1560298_at
102466190	
26519	1555764_s_at
26519	218408_at
100126330	
144486	237021_at
56658	
202658	
693191	
353511	214035_x_at
353511	204538_x_at
353511	215002_at
100422823	
442902	
100616333	
3803	
102466874	
100500811	
102465492	
100500821	
56662	
100033443	
100422830	
6218	
3447	208344_x_at
677797	
677837	
80737	
100847075	
337976	
56979	
56979	221151_at
389362	
389362	228217_s_at
389362	233443_at
389362	242623_x_at
100500835	
100126319	
8449	
729665	
677825	228990_at
100313842	
693233	
102465525	
140881	233160_at
56888	
56888	222471_s_at
56888	240430_at
56888	242887_at
56888	217938_s_at
407002	
4888	210444_at
4888	236860_at
440757	231447_at
100169758	
129790	236340_at
129790	
129790	223630_at
8220	204383_at
8220	239730_at
8220	32032_at
8220	217285_at
8220	
100423030	
100422924	
406982	
100313829	
199713	
5581	
5581	226101_at
5581	206248_at
5581	236459_at
26255	208511_at
100423029	
102465993	
102466251	
4758	
402778	227863_at
402778	1564573_at
402778	227886_at
1238	1568850_at
1238	206887_at
1238	
1238	239452_at
340168	241550_at
100500802	228464_at
100616469	
102465246	
445347	211144_x_at
445347	209813_x_at
445347	215806_x_at
445347	216920_s_at
5304	206509_at
730013	
730013	214033_at
595100	
100500916	
100533105	243264_s_at
100533105	220038_at
101929478	1561619_at
115795	
115795	231531_at
692091	
100500803	
100616417	
26832	
1263	204958_at
1263	
100616373	
406962	241345_at
93474	223898_at
677810	224870_at
6138	221475_s_at
6138	221476_s_at
6138	240806_at
100422866	
54780	219067_s_at
54780	211376_s_at
54780	228506_at
54780	
100033441	
201229	1560703_at
201229	213195_at
201229	
253018	
100500840	
407018	
102465446	
143872	230047_at
143872	223595_at
143872	
143872	1553383_at
255403	1559746_a_at
255403	1553269_at
100302265	
26797	
100033816	
102465256	
100422919	
6917	216241_s_at
6917	
100874002	
259296	
100500864	
126014	
10321	207802_at
10321	
100422874	
102466745	
10466	227089_at
10466	203629_s_at
10466	203630_s_at
10466	
100616480	
100033435	
3263	39763_at
3263	210013_at
3263	
102465248	
101928287	
84692	244735_at
101927143	
101927143	1560560_at
100033414	
84443	236688_at
84443	
84616	234684_s_at
677818	
8754	
102465472	
27120	220284_at
100313938	
654322	
100302226	
728072	231568_at
133060	
574469	
340390	233344_x_at
340390	
100616382	
26716	
338755	
101928539	1561210_at
100616188	
100422989	
57674	241347_at
57674	233880_at
57674	225929_s_at
57674	225931_s_at
57674	241480_at
57674	232155_at
57674	231956_at
57674	
57674	230000_at
100126320	
102465480	
100616118	
23120	214070_s_at
23120	
23120	220920_at
100126336	
79166	
8822	221376_at
284415	
100313838	
5644	
6029	
767599	
102465449	
9972	202097_at
100616149	
100500886	
51156	
26869	
102466657	
94033	
56005	216483_s_at
56005	221739_at
3797	203390_s_at
3797	203389_at
3797	
7052	201042_at
7052	211573_x_at
7052	211003_x_at
7052	216183_at
7052	
619570	
26152	37860_at
26152	214760_at
26152	
100422957	
100422959	
100422844	
148206	
100500809	
100500820	
101929297	
102466880	
100616203	
29844	
100616441	
9907	209912_s_at
9907	209913_x_at
9907	
494335	
100526767	222436_s_at
100526767	
359	236630_at
359	240285_at
359	206672_at
359	
65243	207219_at
401093	235173_at
401093	232298_at
158833	
158833	1560507_at
100126340	
165631	1564310_a_at
165631	1553380_at
165631	
414196	1560255_at
57189	
79690	219815_at
79690	
340205	1555659_a_at
101928661	1561360_at
6928	205313_at
6928	
6928	208135_at
677767	
26831	
693144	
677778	228930_at
767593	
1136	211587_x_at
1136	211772_x_at
1136	210221_at
1136	
100616339	
102465861	
100302190	
100313841	
441864	
101927694	
1351	201119_s_at
353513	206922_at
100505915	222145_at
100505915	81737_at
101928682	
101928682	1560241_at
101928682	237754_at
692209	
677814	212284_x_at
100847088	
105374896	
149086	1566647_s_at
149086	
100616383	
100616165	
196500	1553566_at
196500	228165_at
196500	
64112	212508_at
101340251	
100847040	
51594	202926_at
51594	242049_s_at
51594	
51594	240579_at
90025	227790_at
90025	233327_at
90025	1569262_x_at
90025	
594838	
619564	
9656	
100313771	
100423025	
3106	208729_x_at
3106	209140_x_at
767611	
9730	226476_s_at
9730	204376_at
9730	204377_s_at
9730	226477_at
9730	226481_at
102465944	
100423016	
100616347	
389831	225046_at
389831	225062_at
102723360	225046_at
102723360	225062_at
102724219	225046_at
102724219	225062_at
102724441	225046_at
102724441	225062_at
102724843	225046_at
102724843	225062_at
102724951	225046_at
102724951	225062_at
574460	
692085	
102465490	
102465536	
100616298	
5817	214444_s_at
5817	32699_s_at
5817	216283_s_at
5817	212662_at
5817	214443_at
5817	1556582_at
390245	
100302148	
100302126	
103504738	
442914	
407044	
100847042	
25853	224789_at
25853	
100313914	
389434	231070_at
389434	
100313895	
4012	236728_at
4012	225176_at
4012	207904_s_at
4012	243532_at
4012	231866_at
4012	
9698	201164_s_at
9698	201166_s_at
9698	201165_s_at
9698	
101928708	1560812_at
100422926	
3987	212687_at
3987	223800_s_at
3987	
100288695	212687_at
100288695	223800_s_at
100288695	
100616255	
102465521	
102465136	
102465856	
100422835	
402055	227615_at
402055	213608_s_at
103625684	
100422904	
1474	206595_at
1474	231248_at
100381270	1565867_a_at
100381270	243648_at
26771	
164091	242123_at
255919	235812_at
255919	
677819	236130_at
142683	
54716	219614_s_at
54716	234291_s_at
54716	
100616157	
102465494	
100302133	
406972	
54660	234724_x_at
54660	
147948	
147948	241602_at
100500898	
105379554	227330_x_at
105379554	229748_x_at
105379554	227715_at
11149	223853_at
11149	228783_at
100033447	
100500884	
692199	
6477	
6477	202981_x_at
6477	202980_s_at
6477	232365_at
837	209310_s_at
837	
837	213596_at
102465835	
100422880	
9231	210469_at
9231	
9231	201681_s_at
199713	237461_at
284551	1563802_at
693173	
406897	
100616153	
100379224	222947_at
100379224	
574515	
54033	232549_at
54033	
574494	
101954264	
101954268	
100500867	
100422973	
5158	210304_at
5158	
441631	
441631	227610_at
400798	
400798	1563876_at
406932	
100616426	
338429	
56663	
100616117	
693193	
102466879	
692109	
100847005	
100616344	
26807	
100616231	
414236	1557531_a_at
147645	238654_at
22937	212329_at
22937	
30846	45297_at
30846	205341_at
30846	221870_at
30846	
100422975	
100500888	
677831	200874_s_at
23466	202048_s_at
23466	202047_s_at
23466	
100302242	
100313773	
100422839	
100423010	
84669	211702_s_at
84669	244871_s_at
84669	
84669	237431_at
102465878	
102465435	233563_s_at
102465435	233625_x_at
102465435	224312_x_at
102465435	217994_x_at
100422824	
1797	
388701	
100423037	
406980	
8334	215071_s_at
5184	202108_at
5184	
100036564	
677839	
100616425	
100616113	212593_s_at
100847015	
79825	220006_at
100302179	
102466247	
100313923	
692092	
57498	242032_at
57498	212162_at
57498	212163_at
57498	
57498	1557246_at
57498	214932_at
100423014	220451_s_at
100033448	
26121	
102464833	
102466191	
100616350	
100422883	
261726	1553677_a_at
261726	214773_x_at
261726	228619_x_at
261726	1554351_a_at
100616288	
100847086	
100616326	
100616159	
100616194	
79042	
100500813	
693212	
3111	
693125	
100500877	
100423017	
100616217	
100616464	
102465510	58696_at
102465510	218695_at
692057	
114825	
114825	228337_at
114825	228336_at
114825	226720_at
3010	1553568_a_at
55602	218929_at
55602	
102466738	
100423000	
23769	210414_at
79791	222352_at
79791	224162_s_at
79791	236873_at
79791	
102465431	
102465452	210656_at
102465452	209572_s_at
102465882	
692111	
574475	
768219	
102466740	
100500862	
574030	
79000	220011_at
79000	222946_s_at
574451	
677849	
116938	
4696	
100616338	
100616471	
100313822	
55670	240123_at
55670	235098_at
55670	219180_s_at
55670	
55670	220069_at
693164	
692110	
100616452	
102465693	
4864	
4864	238568_s_at
4864	202679_at
4864	217584_at
8724	213545_x_at
8724	200067_x_at
8724	210648_x_at
8724	
57504	226852_at
57504	223311_s_at
57504	
7014	203611_at
7014	
7014	235872_at
7014	229790_at
7014	1555185_x_at
7014	1555183_at
664709	
100036565	
102724788	214203_s_at
100616470	
407027	
406965	
427	210980_s_at
427	1555419_a_at
427	213702_x_at
427	
427	213902_at
100033453	
407048	
574482	
767568	
100422860	
103504737	
977	204306_s_at
977	
100616358	210778_s_at
26782	210034_s_at
100616171	
102466876	
574476	
51719	217873_at
51719	224311_s_at
51719	
100033821	
100302210	226144_at
693229	
100169768	
102466204	
406901	
2538	1555612_s_at
2538	206952_at
2538	
693225	
100500899	
677827	
100422943	
407036	
102466747	
100616394	
100033818	
4485	205614_x_at
4485	216320_x_at
4485	
102465453	
406978	
693195	
102465445	
102465251	
100302174	
100616395	
342510	
8483	206227_at
6060	
692226	
406979	
574409	
102465467	
100616282	
26799	
654320	
1675	
407031	
100847050	
100126338	
693200	
100506376	
100423019	
724033	
6048	
100302258	
100422867	
100422929	
693127	
102466806	
100302283	218290_at
100616380	
28992	219188_s_at
28992	
100847032	
4580	210386_s_at
57501	1557601_s_at
57501	232250_at
57501	1554852_a_at
57501	
100147744	224719_s_at
693181	
102465832	
693178	
6203	
100423027	
100169755	
100616290	
102465429	
693143	
100422850	
100126321	
102465451	
100616274	
767581	
101954269	
100302263	
728228	
100616216	
693176	
102466721	
100033433	
100302212	
574040	
100422938	
103695431	
677815	221821_s_at
6304	241365_at
6304	203408_s_at
6304	
574042	221798_x_at
574042	203107_x_at
64735	
406951	
677774	
102465538	
724027	
149018	231363_at
100302270	
692106	225065_x_at
100302243	
7272	
7272	204822_at
101929351	
101928468	
7512	
7512	216910_at
7512	206484_s_at
58493	223559_s_at
58493	235917_at
58493	223558_at
58493	239363_at
58493	
406973	
693217	
100616160	
100847080	
140597	211276_at
100313779	
406950	
100500911	
1108	201184_s_at
1108	201183_s_at
1108	201182_s_at
1108	
26816	200715_x_at
102465450	201782_s_at
100422947	
254528	
221662	235004_at
221662	
26793	
5328	
5328	211668_s_at
5328	205479_s_at
102465432	
102466728	
10136	211738_x_at
10136	
100313777	
100423020	
574474	
100616463	
100423015	
130872	230148_at
130872	226334_s_at
130872	
130872	212980_at
130872	226665_at
102465868	
574433	
677801	
9301	
11118	204820_s_at
11118	209846_s_at
11118	212613_at
11118	
406912	
407015	
100847035	
100313830	
100616237	
100616385	
100313884	
102465855	
102466250	
100422994	
102466268	
102465910	
100190949	
283116	221154_at
100616321	
1299	
1299	204724_s_at
26778	200725_x_at
26778	221989_at
84501	1568916_at
84501	227706_at
84501	243594_x_at
84501	1569723_a_at
84501	
100616141	
6083	
677826	
102465461	
103504726	
102464837	
100616174	
57621	226284_at
102465249	
677772	
767566	
64711	
574456	230353_at
100033425	
102466918	
102466201	
100616402	
102465471	
1674	214027_x_at
1674	202222_s_at
1674	
693166	
102466259	
767612	
102465523	
388697	
100616142	
407054	
84067	223637_s_at
84067	
102465906	212563_at
100847083	
102464828	
84437	240627_x_at
84437	227418_at
84437	223799_at
401172	1563969_at
401172	
102465141	
664614	
574410	
147798	
154150	232680_at
100616376	
100422949	
693230	
406893	239130_at
102465491	
100616377	
100616252	
9583	1555358_a_at
9583	204076_at
9583	204077_x_at
9583	
102466737	
285407	
100616183	
100126327	
100422969	
102466081	
100616289	
6084	
100423042	
219482	
406923	
102466878	
5475	
5475	206547_s_at
677777	
102465496	
100187716	232642_at
677803	
100302192	
100616453	
677812	
145741	241031_at
102465838	
693204	
102464826	228214_at
692201	
5436	202306_at
5436	243078_at
5436	
177	
100302177	
102465135	
406931	
206338	235382_at
206338	1565918_a_at
206338	
26775	228047_at
677828	
102466722	
100422935	
102464823	
723778	217148_x_at
338324	205916_at
338324	232170_at
677846	
100126333	
442917	
55692	223295_s_at
55692	1557067_s_at
55692	223546_x_at
55692	220143_x_at
55692	1557066_at
55692	
1060	204739_at
1060	
100500841	
100616305	
55421	228983_at
55421	222779_s_at
55421	229342_at
55421	236384_at
55421	218896_s_at
55421	
100616154	
693124	
102465977	1555557_a_at
347694	
102465532	242832_at
100616206	
100422927	
100422898	
693162	
100169757	
102465447	
677766	237137_at
84220	211324_s_at
84220	
84220	201711_x_at
84220	212842_x_at
84220	210676_x_at
84220	242712_x_at
729540	211324_s_at
729540	
729540	201711_x_at
729540	212842_x_at
729540	210676_x_at
729540	242712_x_at
100033449	
4849	
85449	1561394_s_at
85449	231893_at
85449	
100302159	
642361	228839_s_at
100422967	
693175	
574449	217350_at
102465434	
100126337	
440888	224425_x_at
440888	224424_x_at
440888	224426_s_at
196410	227055_at
767583	
102723502	
102724631	
7596	222028_at
7596	207304_at
7596	
102724532	235282_at
100500844	
100616152	
100302225	
677823	
692203	224468_s_at
692053	
100616413	
114599	
100126332	
100847021	
574445	
100616491	
100302223	
55971	222675_s_at
55971	227371_at
55971	227372_s_at
55971	229798_s_at
55971	
100616317	
100616260	
102465482	209229_s_at
100616120	
100500889	
100033813	
692075	218750_at
693156	
100302195	
1460	
693222	
100616184	
148709	1558577_at
100616405	
100616318	
94162	200858_s_at
26791	200038_s_at
100616242	
100847057	
693189	
10197	200987_x_at
10197	209853_s_at
10197	
10197	209852_x_at
10197	200988_s_at
377841	
100126351	33132_at
100126351	201639_s_at
100302112	
100616144	
100169756	
84066	223938_at
84066	1563876_at
100616122	
100616499	
100616371	
57835	1555277_a_at
57835	221723_s_at
57835	
100616133	
27244	218346_s_at
27244	
27244	236512_at
201799	238063_at
201799	
100033418	
102465502	
102465457	
100616447	
407045	
407007	
4335	204206_at
4335	
4335	236749_at
56901	218484_at
56901	
79937	223796_at
79937	244065_at
79937	
79937	233202_at
79937	220436_at
100847018	
100422916	
574517	
343099	232362_at
343099	236665_at
343099	
1730	205603_s_at
1730	217246_s_at
1730	205726_at
57414	232053_x_at
57414	222995_s_at
57414	
285966	1564028_s_at
285966	1564027_a_at
285966	239315_at
100033454	
692158	
102724728	
574496	
102465665	
26795	214003_x_at
9303	
102465509	
100302157	
100616315	
100846996	
574514	
100422878	
767579	232355_at
100616280	
100616229	
100313770	
121549	
100500824	229185_at
132789	
132789	227022_at
102723532	1560734_at
102723532	1560735_s_at
105369274	1560734_at
105369274	1560735_s_at
26788	228049_x_at
100616223	
100616397	
5663	
5663	203460_s_at
5663	207782_s_at
5663	238816_at
5663	226577_at
102466199	
100422853	
100422993	
100423002	
8479	229697_at
8479	204504_s_at
8479	
693136	
100422870	
100423009	
406928	
80173	
80173	61732_r_at
80173	219174_at
406900	208795_s_at
102465484	
100033803	
100033603	
29057	
29057	223203_at
768218	
100616119	
100422940	
693192	
693194	
100847013	
767604	
100500901	
693148	
85316	
85317	
693224	
100302277	
100873856	
406902	
644139	232887_at
9351	209830_s_at
9351	
101954277	
100847074	
406924	
100616352	
285550	227466_at
285550	236321_at
285550	227270_at
285550	
100302213	
100500885	
407024	
9376	221298_s_at
9376	231352_at
9376	
100616241	
100422863	
100169753	
100126311	223484_at
2191	209955_s_at
2191	
100847063	
100616439	
102466516	
693151	
102466995	
100847004	238213_at
100846993	
319139	
619565	
102464824	
102465501	222019_at
102465501	222029_x_at
102465501	242048_at
102465501	233588_x_at
100616270	
100423013	
574038	
100616295	
25978	202538_s_at
25978	202536_at
25978	202537_s_at
102466725	
100616374	
652965	214805_at
100302273	
619569	
100616323	
1831	208763_s_at
1831	207001_x_at
1831	
94163	
143162	
143162	239275_at
11342	201779_s_at
11342	201780_s_at
11342	
100126310	
100847062	210450_at
102465876	
102465430	
8970	
100500918	
574462	
574465	
692108	
6483	238896_at
6483	205346_at
6483	217650_x_at
6483	229336_at
6483	
100422948	
100500822	
100302208	
102465473	
102466864	
100337591	
677771	
79165	232018_at
102465694	
91380	
100422984	
102465488	
8676	210190_at
102466723	218028_at
102465537	208729_x_at
102465537	209140_x_at
100302224	
100422855	
692212	
26820	
693227	
100500818	
6351	
147929	228305_at
147929	
693155	1557293_at
100033822	
406908	
693232	
102465465	
724031	
103504728	AFFX-HUMRGE/M10098_5_at
100422833	
100616421	
100302255	
31	212186_at
31	
31	214358_at
100616161	
100500878	
6359	
677770	
3034	217521_at
3034	206643_at
3034	
102465974	
100616201	
407055	
100126325	234756_at
100616353	
100134015	
100616363	
406904	
100422869	237217_at
199	
100302160	210424_s_at
11143	200049_at
11143	
100616492	
100313921	
100616219	
442904	
1121	207099_s_at
1121	227871_at
1121	1569183_a_at
1121	
442912	231061_at
574455	
677829	
689	211939_x_at
689	208517_x_at
689	214800_x_at
689	
100302274	
100422851	
101060691	
101060691	229318_at
101060691	1558794_at
101060691	227724_at
101060691	235730_at
3849	207908_at
3849	
100616251	
677795	
767609	
653689	
100616220	
724028	
57116	
57116	208273_at
100616306	
100302181	
677804	
22881	204671_s_at
22881	204672_s_at
22881	
100033442	
56893	224513_s_at
56893	
100422918	
693140	
100616424	
23155	1557433_at
23155	213628_at
23155	1555543_a_at
23155	207855_s_at
125050	
102465691	
100616415	
767603	
100847065	
22909	
100847058	
84620	1555123_at
84620	228821_at
84620	
28985	
28985	218163_at
28985	230235_at
100422876	
4133	210015_s_at
4133	
4133	225540_at
102466758	
5176	202283_at
5176	
100302203	
1522	210042_s_at
1522	
8794	210484_s_at
8794	210483_at
8794	
8794	211163_s_at
8794	206222_at
594839	
102465499	
54535	
100500836	
100500920	
692107	
100846995	
100500842	
102465513	
407050	208795_s_at
100616319	
677843	
102465468	
100847024	
100302111	
100616287	
406963	
100616172	
10211	210142_x_at
10211	208749_x_at
10211	208748_s_at
10211	
693223	
100302284	
23378	203170_at
23378	203171_s_at
23378	
100422981	
102465528	
102466906	
780854	235102_x_at
100422868	
100302220	
100500910	
101928388	1557863_at
101928388	1557864_x_at
407013	
101059938	
101059953	
102465839	
100422829	
100033451	
100616468	
100616481	
102466222	219111_s_at
100505681	235934_at
100505681	239362_at
100616116	
100500854	
101929439	
100847023	
102466759	
102466193	
79573	
79573	219481_at
406991	224917_at
102465802	
100302158	
102466754	
100616479	
100033802	
9302	
406913	
3337	200664_s_at
3337	200666_s_at
3337	231556_at
3337	
100616438	
406892	
100616465	
767598	
494332	
26585	
123745	
220963	227506_at
220963	
643853	
100422895	
253260	226310_at
253260	226312_at
253260	228248_at
253260	
253260	1552734_at
100422881	
126123	240559_at
126123	
100616151	
102465530	
100616170	
654319	
102465483	
100847069	
102465515	
677681	
100124541	
26813	
407035	
319103	1566340_at
